排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Donovan Mitchell,UTA,7,7,36.3,5.0,4.9,37.7,32.3,52.9,11.857,22.429,51.6,4.714,9.143,94.8,7.857,8.286,0.9,4.1,1.0,0.3,4.1,1.6,2019-2020,Playoffs,G,G,Utah,Utah
2,Luka Doncic,DAL,6,6,31.0,9.8,8.7,35.8,31.7,50.0,10.667,21.333,36.4,2.667,7.333,65.6,7.0,10.667,0.7,9.2,1.2,0.5,5.2,2.8,2019-2020,Playoffs,F,G,Dallas,Texas
3,Joel Embiid,PHI,4,4,30.0,12.3,1.3,36.3,29.8,45.9,8.5,18.5,25.0,1.0,4.0,81.4,12.0,14.75,2.8,9.5,1.5,1.3,3.8,4.5,2019-2020,Playoffs,C,F,Philadelphia,Pennsylvania
4,James Harden,HOU,12,12,29.6,5.6,7.7,37.3,30.0,47.8,9.083,19.0,33.3,3.25,9.75,84.5,8.167,9.667,1.0,4.6,1.5,0.8,3.8,3.6,2019-2020,Playoffs,G,G,Houston,Texas
5,Kawhi Leonard,LAC,13,13,28.2,9.3,5.5,39.3,32.2,48.9,10.077,20.615,32.9,1.846,5.615,86.2,6.231,7.231,1.8,7.5,2.3,0.8,2.5,2.2,2019-2020,Playoffs,F,F,LA,California
6,Nikola Vucevic,ORL,5,5,28.0,11.0,4.0,37.0,30.6,50.5,11.2,22.2,40.9,3.6,8.8,90.9,2.0,2.2,1.8,9.2,0.8,0.6,2.6,2.6,2019-2020,Playoffs,C,C,Orlando,Florida
7,Anthony Davis,LAL,21,21,27.7,9.7,3.5,36.6,32.3,57.1,9.762,17.095,38.3,1.095,2.857,83.2,7.095,8.524,2.6,7.1,1.2,1.4,2.5,2.7,2019-2020,Playoffs,F,C,Los Angeles,California
8,LeBron James,LAL,21,21,27.6,10.8,8.8,36.3,35.2,56.0,10.19,18.19,37.0,2.095,5.667,72.0,5.143,7.143,1.3,9.4,1.2,0.9,4.0,1.9,2019-2020,Playoffs,F,F,Los Angeles,California
9,Giannis Antetokounmpo,MIL,9,9,26.7,13.8,5.7,30.8,32.7,55.9,10.0,17.889,32.5,1.444,4.444,58.0,5.222,9.0,3.0,10.8,0.7,0.9,3.3,3.4,2019-2020,Playoffs,F,F,Milwaukee,Wisconsin
10,Jamal Murray,DEN,19,19,26.5,4.8,6.6,39.6,26.5,50.5,9.789,19.368,45.3,3.263,7.211,89.7,3.684,4.105,1.1,3.8,0.9,0.3,2.8,2.2,2019-2020,Playoffs,G,G,Denver,Colorado
11,Jayson Tatum,BOS,17,17,25.7,10.0,5.0,40.6,27.6,43.4,8.529,19.647,37.3,2.765,7.412,81.3,5.882,7.235,1.3,8.7,1.0,1.2,2.8,2.4,2019-2020,Playoffs,F,G,Boston,Massachusetts
12,Nikola Jokic,DEN,19,19,24.4,9.8,5.7,36.5,29.2,51.9,9.368,18.053,42.9,2.211,5.158,83.5,3.474,4.158,1.9,7.9,1.1,0.8,3.3,3.6,2019-2020,Playoffs,C,C,Denver,Colorado
13,Damian Lillard,POR,4,4,24.3,3.5,4.3,35.8,19.5,40.6,6.5,16.0,39.4,3.25,8.25,97.0,8.0,8.25,0.3,3.3,0.5,0.3,3.5,1.0,2019-2020,Playoffs,G,G,Portland,Oregon
14,Kristaps Porzingis,DAL,3,3,23.7,8.7,0.7,31.3,25.7,52.5,7.0,13.333,52.9,3.0,5.667,87.0,6.667,7.667,1.0,7.7,0.0,1.0,1.0,3.0,2019-2020,Playoffs,F,C,Dallas,Texas
