球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
BOS,5,43.5,38.4,88.2,35.0,12.8,36.6,82.5,22.6,27.4,12.6,28.8,112.2,41.4,21.0,13.0,6.4,7.0,21.0,2020-2021,Playoffs,Boston,Massachusetts
LAC,19,47.7,39.105,81.947,38.1,13.842,36.368,82.3,19.526,23.737,8.8,32.4,111.6,41.2,20.8,10.68,6.79,4.26,19.47,2020-2021,Playoffs,LA,California
MIL,23,46.2,42.087,91.087,32.1,11.217,34.957,71.8,14.913,20.783,12.8,36.1,110.3,49.0,22.8,12.74,7.83,4.22,17.96,2020-2021,Playoffs,Milwaukee,Wisconsin
WAS,5,45.8,40.6,88.6,28.9,7.0,24.2,75.2,21.8,29.0,10.6,32.8,110.0,43.4,22.4,13.4,4.8,4.8,24.0,2020-2021,Playoffs,Washington,D.C.
PHX,22,48.1,40.909,85.045,37.6,11.182,29.727,86.1,16.0,18.591,8.0,34.7,109.0,42.7,23.2,11.91,6.46,4.18,19.73,2020-2021,Playoffs,Phoenix,Arizona
ATL,18,44.9,38.944,86.778,34.3,11.722,34.167,79.8,16.667,20.889,9.1,33.3,106.3,42.4,20.2,12.44,6.72,4.39,21.22,2020-2021,Playoffs,Atlanta,Georgia
DAL,7,45.5,39.143,86.0,38.8,13.571,35.0,70.7,14.143,20.0,10.3,30.3,106.0,40.6,20.7,11.0,5.57,2.14,20.29,2020-2021,Playoffs,Dallas,Texas
MIA,4,39.5,35.25,89.25,33.6,12.0,35.75,76.5,15.5,20.25,9.0,33.3,98.0,42.3,21.5,14.0,7.25,3.5,20.5,2020-2021,Playoffs,Miami,Florida
LAL,6,41.4,34.333,83.0,29.9,9.833,32.833,77.6,19.0,24.5,10.5,32.7,97.5,43.2,19.3,13.83,6.67,4.0,20.5,2020-2021,Playoffs,Los Angeles,California
NYK,5,39.8,34.4,86.4,34.2,10.4,30.4,81.7,17.8,21.8,11.8,34.6,97.0,46.4,18.6,12.2,5.8,2.8,19.8,2020-2021,Playoffs,New York,New York
MEM,12,43.5,39.75,91.333,36.5,13.083,35.833,73.5,19.917,27.083,12.4,33.4,112.5,45.8,25.2,14.0,9.17,6.08,20.75,2021-2022,Playoffs,Memphis,Tennessee
GSW,22,48.0,41.364,86.136,37.5,14.0,37.318,76.6,15.136,19.773,9.8,34.1,111.9,43.9,27.0,14.55,7.73,4.96,21.55,2021-2022,Playoffs,Golden State,California
DEN,5,47.6,39.4,82.8,35.7,11.2,31.4,79.4,20.0,25.2,11.2,30.6,110.0,41.8,25.0,16.4,7.0,3.4,25.0,2021-2022,Playoffs,Denver,Colorado
NOP,6,46.2,39.0,84.333,35.4,9.333,26.333,78.0,22.5,28.833,15.2,30.5,109.8,45.7,21.3,14.5,6.33,3.5,21.17,2021-2022,Playoffs,New Orleans,Louisiana
MIN,6,44.3,36.333,82.0,38.8,13.833,35.667,81.0,22.667,28.0,7.0,33.0,109.2,40.0,22.8,17.67,8.17,7.83,26.83,2021-2022,Playoffs,Minnesota,Minnesota
BKN,4,50.3,39.25,78.0,42.2,11.5,27.25,73.8,19.0,25.75,8.5,25.5,109.0,34.0,22.3,15.25,8.0,6.5,24.75,2021-2022,Playoffs,Brooklyn,New York
PHX,13,49.7,41.154,82.769,36.3,9.846,27.154,81.7,15.462,18.923,9.5,30.7,107.6,40.2,25.7,13.31,6.62,3.77,22.46,2021-2022,Playoffs,Phoenix,Arizona
DAL,18,44.9,36.278,80.833,38.0,15.778,41.5,77.1,18.0,23.333,6.5,30.0,106.3,36.5,19.2,10.22,7.17,2.78,21.11,2021-2022,Playoffs,Dallas,Texas
BOS,24,44.9,36.708,81.75,37.3,13.667,36.625,79.7,18.458,23.167,9.0,33.9,105.5,42.9,24.5,14.71,6.42,6.25,20.71,2021-2022,Playoffs,Boston,Massachusetts
PHI,12,46.5,36.417,78.25,37.3,12.417,33.333,84.9,19.25,22.667,7.7,31.3,104.5,39.0,21.8,14.75,6.08,4.33,20.58,2021-2022,Playoffs,Philadelphia,Pennsylvania
MIA,18,44.5,38.0,85.333,31.3,10.889,34.778,80.4,17.333,21.556,9.8,31.2,104.2,41.1,21.9,12.94,8.33,3.67,21.44,2021-2022,Playoffs,Miami,Florida
TOR,6,44.6,38.333,86.0,29.9,9.833,32.833,79.4,16.667,21.0,10.0,27.5,103.2,37.5,20.7,10.0,6.67,4.83,22.17,2021-2022,Playoffs,Toronto,Ontario
MIL,12,43.8,38.5,88.0,32.7,10.583,32.333,73.1,15.167,20.75,9.8,40.7,102.8,50.4,20.8,13.75,6.33,4.5,19.08,2021-2022,Playoffs,Milwaukee,Wisconsin
UTA,6,44.3,35.0,79.0,27.4,8.167,29.833,78.6,20.833,26.5,9.3,35.5,99.0,44.8,17.2,11.67,4.0,3.67,22.0,2021-2022,Playoffs,Utah,Utah
ATL,5,44.0,34.4,78.2,32.6,11.4,35.0,78.2,17.2,22.0,8.6,30.8,97.4,39.4,18.6,16.4,5.8,2.4,21.6,2021-2022,Playoffs,Atlanta,Georgia
CHI,5,40.4,36.4,90.2,28.3,10.4,36.8,83.3,12.0,14.4,8.2,35.8,95.2,44.0,23.0,13.0,7.8,3.2,18.6,2021-2022,Playoffs,Chicago,Illinois
