排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,James Harden,HOU,68,68,34.3,6.6,7.5,36.5,32.6,44.4,9.882,22.265,35.5,4.397,12.397,86.5,10.176,11.765,1.0,5.5,1.8,0.9,4.5,3.3,2019-2020,RegularSeason,G,G,Houston,Texas
2,Bradley Beal,WAS,57,57,30.5,4.2,6.1,36.0,25.4,45.5,10.404,22.86,35.3,2.982,8.439,84.2,6.754,8.018,0.9,3.3,1.2,0.4,3.4,2.2,2019-2020,RegularSeason,G,G,Washington,D.C.
3,Damian Lillard,POR,66,66,30.0,4.3,8.0,37.5,28.9,46.3,9.455,20.439,40.1,4.091,10.212,88.8,6.97,7.848,0.5,3.8,1.1,0.3,2.9,1.7,2019-2020,RegularSeason,G,G,Portland,Oregon
4,Trae Young,ATL,60,60,29.6,4.3,9.3,35.3,26.6,43.7,9.1,20.817,36.1,3.417,9.467,86.0,8.017,9.317,0.5,3.7,1.1,0.1,4.8,1.7,2019-2020,RegularSeason,G,G,Atlanta,Georgia
5,Giannis Antetokounmpo,MIL,63,63,29.5,13.6,5.6,30.4,34.6,55.3,10.873,19.651,30.4,1.413,4.651,63.3,6.317,9.984,2.2,11.4,1.0,1.0,3.7,3.1,2019-2020,RegularSeason,F,F,Milwaukee,Wisconsin
6,Luka Doncic,DAL,61,61,28.8,9.4,8.8,33.6,30.8,46.3,9.525,20.574,31.6,2.803,8.869,75.8,6.984,9.213,1.3,8.1,1.0,0.2,4.3,2.5,2019-2020,RegularSeason,F,G,Dallas,Texas
7,Kyrie Irving,BKN,20,20,27.4,5.2,6.4,32.9,27.0,47.8,9.95,20.8,39.4,2.8,7.1,92.2,4.7,5.1,1.1,4.1,1.4,0.5,2.6,2.7,2019-2020,RegularSeason,G,G,Brooklyn,New York
8,Russell Westbrook,HOU,57,57,27.2,7.9,7.0,35.9,26.2,47.2,10.596,22.474,25.8,0.965,3.737,76.3,5.088,6.667,1.8,6.2,1.6,0.4,4.5,3.5,2019-2020,RegularSeason,G,G,Houston,Texas
9,Kawhi Leonard,LAC,57,57,27.1,7.1,4.9,32.4,27.5,47.0,9.333,19.877,37.8,2.158,5.702,88.6,6.246,7.053,0.9,6.1,1.8,0.6,2.6,2.0,2019-2020,RegularSeason,F,F,LA,California
10,Devin Booker,PHX,70,70,26.6,4.2,6.5,35.9,24.6,48.9,8.957,18.329,35.4,2.014,5.686,91.9,6.686,7.271,0.4,3.8,0.7,0.3,3.8,3.0,2019-2020,RegularSeason,G,G,Phoenix,Arizona
11,Karl Anthony Towns,MIN,35,35,26.5,10.8,4.4,33.9,30.6,50.8,9.029,17.771,41.2,3.257,7.914,79.6,5.143,6.457,2.7,8.1,0.9,1.2,3.1,3.3,2019-2020,RegularSeason,C,F,Minnesota,Minnesota
12,Anthony Davis,LAL,62,62,26.1,9.3,3.2,34.4,29.8,50.3,8.887,17.677,33.0,1.161,3.516,84.6,7.161,8.468,2.3,7.0,1.5,2.3,2.5,2.5,2019-2020,RegularSeason,F,C,Los Angeles,California
13,Zach LaVine,CHI,60,60,25.5,4.8,4.2,34.8,21.0,45.0,8.983,19.983,38.0,3.067,8.067,80.2,4.467,5.567,0.7,4.1,1.5,0.5,3.4,2.2,2019-2020,RegularSeason,G,F,Chicago,Illinois
14,LeBron James,LAL,67,67,25.3,7.8,10.2,34.6,29.6,49.3,9.597,19.448,34.8,2.209,6.343,69.3,3.94,5.687,1.0,6.9,1.2,0.5,3.9,1.8,2019-2020,RegularSeason,F,F,Los Angeles,California
15,Donovan Mitchell,UTA,69,69,24.0,4.4,4.3,34.3,19.8,44.9,8.725,19.449,36.6,2.507,6.855,86.3,4.029,4.667,0.8,3.6,1.0,0.2,2.7,2.5,2019-2020,RegularSeason,G,G,Utah,Utah
16,Brandon Ingram,NOP,62,62,23.8,6.1,4.2,33.9,22.3,46.3,8.177,17.677,39.1,2.419,6.194,85.1,5.048,5.935,0.8,5.3,1.0,0.6,3.0,2.9,2019-2020,RegularSeason,F,F,New Orleans,Louisiana
17,Jayson Tatum,BOS,66,66,23.4,7.0,3.0,34.3,22.3,45.0,8.364,18.576,40.3,2.864,7.106,81.2,3.848,4.742,1.0,6.0,1.4,0.9,2.3,2.1,2019-2020,RegularSeason,F,G,Boston,Massachusetts
18,D 'Angelo Russell,MIN,45,45,23.1,3.9,6.3,32.3,19.8,42.6,8.0,18.8,36.7,3.511,9.578,80.9,3.578,4.422,0.4,3.6,1.1,0.3,3.3,1.9,2019-2020,RegularSeason,G,G,Minnesota,Minnesota
19,Joel Embiid,PHI,51,51,23.0,11.6,3.0,29.5,26.8,47.7,7.49,15.706,33.1,1.118,3.373,80.7,6.882,8.529,2.8,8.9,0.9,1.3,3.1,3.4,2019-2020,RegularSeason,C,F,Philadelphia,Pennsylvania
