球隊
HOU
NOP
CLE
MIL
POR
GSW
OKC
PHX
BOS
SAS
IND
TOR
PHI
NYK
WAS
LAC
MIN
CHA
DET
UTA
MEM
ATL
DAL
DEN
BKN
ORL
MIA
CHI
LAL
SAC
