排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Joel Embiid,PHI,68,68,30.6,11.7,4.2,33.8,33.9,49.9,9.794,19.618,37.1,1.368,3.691,81.4,9.618,11.809,2.1,9.6,1.1,1.5,3.1,2.7,2021-2022,RegularSeason,C,F,Philadelphia,Pennsylvania
2,LeBron James,LAL,56,56,30.3,8.2,6.2,37.2,31.7,52.4,11.429,21.804,35.9,2.875,8.0,75.6,4.536,6.0,1.1,7.1,1.3,1.1,3.5,2.2,2021-2022,RegularSeason,F,F,Los Angeles,California
3,Giannis Antetokounmpo,MIL,67,67,29.9,11.6,5.8,32.9,35.0,55.3,10.284,18.582,29.3,1.06,3.612,72.2,8.254,11.433,2.0,9.6,1.1,1.4,3.3,3.2,2021-2022,RegularSeason,F,F,Milwaukee,Wisconsin
4,Kevin Durant,BKN,55,55,29.9,7.4,6.4,37.2,31.6,51.8,10.509,20.273,38.3,2.091,5.455,91.0,6.764,7.436,0.5,6.9,0.9,0.9,3.5,2.1,2021-2022,RegularSeason,F,F,Brooklyn,New York
5,Luka Doncic,DAL,65,65,28.4,9.1,8.7,35.4,29.8,45.7,9.862,21.585,35.3,3.092,8.754,74.4,5.6,7.523,0.9,8.3,1.2,0.6,4.5,2.2,2021-2022,RegularSeason,F,G,Dallas,Texas
6,Trae Young,ATL,76,76,28.4,3.7,9.7,34.9,27.2,46.0,9.355,20.316,38.2,3.066,8.026,90.4,6.579,7.276,0.7,3.1,0.9,0.1,4.0,1.7,2021-2022,RegularSeason,G,G,Atlanta,Georgia
7,DeMar DeRozan,CHI,76,76,27.9,5.2,4.9,36.1,25.8,50.4,10.184,20.197,35.2,0.658,1.868,87.7,6.842,7.803,0.7,4.4,0.9,0.3,2.4,2.3,2021-2022,RegularSeason,G,F,Chicago,Illinois
8,Kyrie Irving,BKN,29,29,27.4,4.4,5.8,37.7,25.4,46.9,9.966,21.241,41.8,3.448,8.241,91.5,4.069,4.448,0.6,3.8,1.4,0.6,2.5,2.8,2021-2022,RegularSeason,G,G,Brooklyn,New York
9,Ja Morant,MEM,57,57,27.4,5.7,6.7,33.1,25.8,49.3,10.175,20.649,34.4,1.544,4.491,76.1,5.544,7.281,1.4,4.4,1.2,0.4,3.4,1.5,2021-2022,RegularSeason,G,G,Memphis,Tennessee
10,Nikola Jokic,DEN,74,74,27.1,13.8,7.9,33.5,38.7,58.3,10.324,17.716,33.7,1.311,3.892,81.0,5.122,6.324,2.8,11.0,1.5,0.9,3.8,2.6,2021-2022,RegularSeason,C,C,Denver,Colorado
11,Jayson Tatum,BOS,76,76,26.9,8.0,4.4,35.9,25.9,45.3,9.316,20.579,35.3,3.026,8.566,85.3,5.263,6.171,1.1,6.9,1.0,0.6,2.9,2.3,2021-2022,RegularSeason,F,G,Boston,Massachusetts
12,Devin Booker,PHX,68,68,26.8,5.0,4.8,34.5,23.9,46.6,9.735,20.897,38.3,2.691,7.029,86.8,4.632,5.338,0.7,4.4,1.1,0.4,2.4,2.6,2021-2022,RegularSeason,G,G,Phoenix,Arizona
13,Donovan Mitchell,UTA,67,67,25.9,4.2,5.3,33.8,22.1,44.8,9.209,20.537,35.5,3.463,9.761,85.3,3.985,4.672,0.8,3.4,1.5,0.2,3.0,2.4,2021-2022,RegularSeason,G,G,Utah,Utah
