球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
LAC,6,44.7,39.833,89.167,36.3,11.5,31.667,81.5,23.5,28.833,10.0,30.2,114.7,40.2,25.3,15.0,8.0,3.33,25.0,2018-2019,Playoffs,LA,California
GSW,22,47.7,41.091,86.136,37.2,12.182,32.727,81.3,19.773,24.318,10.1,33.2,114.1,43.3,28.4,14.91,7.41,5.68,23.23,2018-2019,Playoffs,Golden State,California
MIL,15,45.1,39.8,88.333,33.6,12.8,38.067,72.9,20.4,28.0,10.1,41.8,112.8,51.9,25.0,13.0,6.67,6.4,21.8,2018-2019,Playoffs,Milwaukee,Wisconsin
BKN,5,42.0,38.4,91.4,32.4,11.0,34.0,80.8,23.6,29.2,11.2,29.2,111.4,40.4,19.2,14.2,7.6,2.8,22.8,2018-2019,Playoffs,Brooklyn,New York
POR,16,43.6,39.438,90.438,36.0,11.813,32.813,76.6,19.0,24.813,11.4,33.8,109.7,45.2,19.8,12.88,6.88,5.13,22.75,2018-2019,Playoffs,Portland,Oregon
DEN,14,44.3,39.929,90.214,34.4,9.571,27.786,78.2,19.714,25.214,13.1,34.6,109.1,47.7,24.0,9.79,5.71,4.64,21.29,2018-2019,Playoffs,Denver,Colorado
PHI,12,45.9,39.417,85.833,33.1,9.417,28.417,79.0,20.417,25.833,11.4,37.1,108.7,48.5,24.4,16.5,6.33,5.42,22.42,2018-2019,Playoffs,Philadelphia,Pennsylvania
HOU,11,44.4,37.182,83.818,36.6,15.636,42.727,76.4,18.545,24.273,9.6,33.3,108.5,42.9,18.3,15.82,8.55,5.09,21.64,2018-2019,Playoffs,Houston,Texas
TOR,24,44.4,37.667,84.75,34.6,11.917,34.458,83.0,19.333,23.292,8.3,34.0,106.6,42.3,22.5,12.08,8.04,4.58,22.63,2018-2019,Playoffs,Toronto,Ontario
OKC,5,44.0,37.8,86.0,33.1,10.4,31.4,75.6,19.2,25.4,10.2,33.0,105.2,43.2,22.6,15.2,6.6,5.4,24.2,2018-2019,Playoffs,Oklahoma City,Oklahoma
SAS,7,46.3,39.429,85.143,33.8,6.714,19.857,77.0,17.714,23.0,10.7,34.4,103.3,45.1,21.1,8.43,4.57,4.0,19.43,2018-2019,Playoffs,San Antonio,Texas
BOS,9,42.4,35.667,84.111,34.3,11.333,33.0,80.3,19.444,24.222,7.4,40.3,102.1,47.8,21.4,14.78,5.89,3.78,20.78,2018-2019,Playoffs,Boston,Massachusetts
DET,4,38.8,37.5,96.75,33.1,11.0,33.25,72.7,12.0,16.5,10.8,31.5,98.0,42.3,23.0,10.5,7.25,4.0,24.25,2018-2019,Playoffs,Detroit,Michigan
UTA,5,40.0,34.6,86.4,26.3,9.4,35.8,75.0,19.2,25.6,11.8,35.4,97.8,47.2,23.0,15.2,9.2,5.4,21.8,2018-2019,Playoffs,Utah,Utah
ORL,5,38.8,32.2,83.0,29.9,10.4,34.8,77.5,17.2,22.2,9.6,33.8,92.0,43.4,19.0,15.6,6.6,4.0,18.8,2018-2019,Playoffs,Orlando,Florida
IND,4,40.1,33.5,83.5,33.6,10.0,29.75,72.0,14.75,20.5,8.0,32.3,91.8,40.3,20.8,12.0,8.25,3.5,20.0,2018-2019,Playoffs,Indiana,Indiana
