排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Kevin Durant,GSW,11,11,34.2,5.2,4.9,39.1,29.4,51.3,11.364,22.091,41.6,3.182,7.273,90.1,9.273,10.273,0.1,5.1,1.2,1.0,3.8,3.3,2018-2019,Playoffs,F,F,Golden State,California
2,James Harden,HOU,11,11,31.6,6.8,6.6,38.5,28.0,41.3,9.909,24.0,35.0,4.364,12.455,83.7,7.455,8.909,0.8,6.0,2.2,0.9,4.6,3.7,2018-2019,Playoffs,G,G,Houston,Texas
3,Kawhi Leonard,TOR,20,20,30.9,9.1,3.9,38.9,31.2,49.6,12.15,24.8,38.1,2.75,7.25,88.3,9.55,10.8,2.2,6.9,1.5,0.6,3.2,2.3,2018-2019,Playoffs,F,F,Toronto,Ontario
4,Paul George,OKC,5,5,28.6,8.6,3.6,40.8,25.0,43.6,8.8,20.2,31.9,3.0,9.4,81.6,8.0,9.8,1.2,7.4,1.4,0.2,4.2,4.2,2018-2019,Playoffs,F,F,Oklahoma City,Oklahoma
5,Stephen Curry,GSW,18,18,27.4,6.1,5.5,37.6,26.8,44.7,10.556,23.944,38.8,5.111,13.556,94.3,8.222,8.722,0.7,5.4,1.1,0.2,2.9,3.3,2018-2019,Playoffs,G,G,Golden State,California
6,Damian Lillard,POR,16,16,26.9,4.8,6.6,40.6,23.3,41.8,8.625,20.625,37.3,3.688,9.875,83.3,5.938,7.125,0.5,4.3,1.7,0.3,3.8,2.5,2018-2019,Playoffs,G,G,Portland,Oregon
7,Giannis Antetokounmpo,MIL,15,15,25.5,12.2,4.9,34.3,29.6,49.4,8.6,17.4,32.7,1.2,3.667,63.7,7.133,11.2,2.4,9.8,1.2,2.0,3.3,3.2,2018-2019,Playoffs,F,F,Milwaukee,Wisconsin
8,Nikola Jokic,DEN,14,14,25.1,13.0,8.4,39.7,36.0,50.6,9.429,18.643,39.3,1.571,4.0,84.6,4.714,5.571,3.9,9.1,1.1,0.9,2.6,3.9,2018-2019,Playoffs,C,C,Denver,Colorado
9,CJ McCollum,POR,16,16,24.7,5.0,3.7,39.7,19.8,44.0,9.625,21.875,39.3,2.875,7.313,73.2,2.563,3.5,0.9,4.1,0.8,0.6,1.9,2.1,2018-2019,Playoffs,G,G,Portland,Oregon
10,Blake Griffin,DET,2,2,24.5,6.0,6.0,29.0,24.0,46.2,9.0,19.5,46.2,3.0,6.5,100.0,3.5,3.5,2.0,4.0,1.0,0.0,3.0,4.5,2018-2019,Playoffs,F,F,Detroit,Michigan
11,Russell Westbrook,OKC,5,5,22.8,9.0,10.6,39.4,24.6,36.0,8.0,22.2,32.4,2.2,6.8,88.5,4.6,5.2,1.4,7.6,1.0,0.6,4.6,3.8,2018-2019,Playoffs,G,G,Oklahoma City,Oklahoma
12,DeMar DeRozan,SAS,7,7,22.0,6.7,4.6,35.9,23.3,48.7,8.286,17.0,0.0,0.0,0.143,86.4,5.429,6.286,1.4,5.3,1.1,0.1,1.7,2.3,2018-2019,Playoffs,G,G,San Antonio,Texas
13,Lou Williams,LAC,6,0,21.7,2.8,7.7,29.3,19.2,43.3,7.5,17.333,33.3,1.0,3.0,82.9,5.667,6.833,1.0,1.8,0.8,0.2,3.0,2.3,2018-2019,Playoffs,G,G,LA,California
14,Donovan Mitchell,UTA,5,5,21.4,5.0,3.2,38.6,10.2,32.1,7.2,22.4,25.6,2.2,8.6,72.7,4.8,6.6,1.4,3.6,1.6,0.2,4.2,3.0,2018-2019,Playoffs,G,G,Utah,Utah
15,Kyrie Irving,BOS,9,9,21.3,4.3,7.0,36.7,18.8,38.5,7.667,19.889,31.0,2.0,6.444,90.0,4.0,4.444,0.6,3.8,1.4,0.4,3.1,2.9,2018-2019,Playoffs,G,G,Boston,Massachusetts
16,Jamal Murray,DEN,14,14,21.3,4.4,4.7,36.3,19.1,42.5,7.643,18.0,33.7,2.0,5.929,90.3,4.0,4.429,1.4,3.0,1.0,0.1,1.6,1.7,2018-2019,Playoffs,G,G,Denver,Colorado
17,Caris LeVert,BKN,5,2,21.0,4.6,3.0,28.8,19.0,49.3,7.2,14.6,46.2,2.4,5.2,72.4,4.2,5.8,1.2,3.4,1.0,0.4,2.0,1.6,2018-2019,Playoffs,G,G,Brooklyn,New York
18,Joel Embiid,PHI,11,11,20.2,10.5,3.4,30.4,23.6,42.8,6.182,14.455,30.8,1.091,3.545,82.2,6.727,8.182,1.9,8.5,0.7,2.3,3.6,3.1,2018-2019,Playoffs,F,C,Philadelphia,Pennsylvania
19,LaMarcus Aldridge,SAS,7,7,20.0,9.6,2.7,34.9,22.7,45.5,7.857,17.286,27.3,0.429,1.571,81.8,3.857,4.714,2.7,6.9,0.7,1.0,1.0,3.0,2018-2019,Playoffs,C,F,San Antonio,Texas
20,Danilo Gallinari,LAC,6,6,19.8,6.2,2.7,33.5,15.5,35.1,6.5,18.5,30.2,2.167,7.167,84.8,4.667,5.5,1.5,4.7,1.3,0.2,1.8,2.3,2018-2019,Playoffs,F,F,LA,California
21,Klay Thompson,GSW,18,18,19.5,4.0,2.1,38.9,17.6,44.0,9.111,20.0,41.1,3.889,8.778,89.7,2.056,2.278,0.6,3.4,1.4,0.8,1.9,2.8,2018-2019,Playoffs,G,G,Golden State,California
22,Jimmy Butler,PHI,12,12,19.4,6.0,5.2,35.1,22.1,45.1,6.583,14.583,26.7,1.0,3.75,87.5,5.25,6.0,1.8,4.2,1.5,0.6,1.8,1.7,2018-2019,Playoffs,G,F,Philadelphia,Pennsylvania
23,D 'Angelo Russell,BKN,5,5,19.4,3.6,3.6,29.6,11.8,35.9,7.4,20.6,32.4,2.4,7.4,84.6,2.2,2.6,0.4,3.2,1.4,0.2,2.8,2.4,2018-2019,Playoffs,G,G,Brooklyn,New York
24,Pascal Siakam,TOR,20,20,19.0,7.1,2.7,36.6,19.8,46.7,9.0,19.15,29.2,1.45,5.2,75.0,3.3,4.35,1.7,5.4,1.1,0.8,1.3,3.2,2018-2019,Playoffs,F,F,Toronto,Ontario
25,Montrezl Harrell,LAC,6,0,18.3,5.5,2.2,26.3,21.7,73.0,7.667,10.5,0.0,0.0,0.167,69.2,3.0,4.333,2.0,3.5,0.5,0.7,1.3,3.2,2018-2019,Playoffs,F,C,LA,California
26,Bojan Bogdanovic,IND,4,4,18.0,5.8,2.8,37.0,17.0,39.7,6.25,15.75,31.8,1.75,5.5,88.2,3.75,4.25,0.8,5.0,2.0,0.0,1.5,1.8,2018-2019,Playoffs,F,F,Indiana,Indiana
27,Eric Gordon,HOU,11,11,17.8,2.5,1.3,37.3,12.9,44.7,6.091,13.636,40.0,3.455,8.636,85.7,2.182,2.545,0.5,2.1,0.6,1.0,2.5,2.0,2018-2019,Playoffs,G,G,Houston,Texas
28,Reggie Jackson,DET,4,4,17.8,3.3,7.0,27.0,18.0,43.1,7.0,16.25,42.9,2.25,5.25,85.7,1.5,1.75,1.3,2.0,0.8,0.0,1.3,3.0,2018-2019,Playoffs,G,G,Detroit,Michigan
29,Chris Paul,HOU,11,11,17.0,6.4,5.5,36.1,20.2,44.6,6.0,13.455,27.0,1.545,5.727,84.4,3.455,4.091,1.3,5.1,2.2,0.6,3.4,3.3,2018-2019,Playoffs,G,G,Houston,Texas
30,Khris Middleton,MIL,15,15,16.9,6.3,4.4,34.3,18.1,41.8,5.6,13.4,43.5,2.667,6.133,88.5,3.067,3.467,0.6,5.7,0.6,0.0,1.9,2.9,2018-2019,Playoffs,F,F,Milwaukee,Wisconsin
31,Tobias Harris,PHI,12,12,15.5,9.2,4.0,36.9,20.3,42.5,5.917,13.917,34.9,1.833,5.25,84.6,1.833,2.167,1.0,8.2,1.1,0.5,1.7,2.5,2018-2019,Playoffs,F,F,Philadelphia,Pennsylvania
32,Ricky Rubio,UTA,5,5,15.4,3.2,8.6,33.6,18.6,42.4,5.6,13.2,20.0,0.8,4.0,85.0,3.4,4.0,0.6,2.6,2.4,0.2,3.0,2.8,2018-2019,Playoffs,G,G,Utah,Utah
33,Tyreke Evans,IND,4,0,15.3,4.3,0.8,21.0,11.5,43.8,5.25,12.0,55.0,2.75,5.0,57.1,2.0,3.5,0.0,4.3,0.8,0.3,1.5,2.0,2018-2019,Playoffs,G,G,Indiana,Indiana
34,Aaron Gordon,ORL,5,5,15.2,7.2,3.6,32.8,16.4,46.8,5.8,12.4,40.0,1.6,4.0,52.6,2.0,3.8,2.2,5.0,1.2,0.2,2.6,3.2,2018-2019,Playoffs,F,F,Orlando,Florida
35,Jayson Tatum,BOS,9,9,15.2,6.7,1.9,32.8,15.6,43.8,5.444,12.444,32.3,1.111,3.444,74.4,3.222,4.333,0.8,5.9,1.1,0.8,2.0,2.3,2018-2019,Playoffs,F,F,Boston,Massachusetts
36,Derrick White,SAS,7,7,15.1,3.0,3.0,27.3,14.6,54.7,5.857,10.714,29.4,0.714,2.429,73.1,2.714,3.714,0.1,2.9,0.7,0.7,2.1,2.4,2018-2019,Playoffs,G,G,San Antonio,Texas
37,Luke Kennard,DET,4,2,15.0,4.0,1.8,33.3,14.8,48.9,5.75,11.75,60.0,2.25,3.75,83.3,1.25,1.5,0.0,4.0,0.8,0.3,0.8,1.5,2018-2019,Playoffs,G,G,Detroit,Michigan
38,Spencer Dinwiddie,BKN,5,0,14.6,2.6,1.6,26.2,9.8,43.5,5.4,12.4,37.5,1.8,4.8,71.4,2.0,2.8,0.8,1.8,0.4,0.0,1.6,2.0,2018-2019,Playoffs,G,G,Brooklyn,New York
39,Paul Millsap,DEN,14,14,14.6,6.7,0.8,33.5,15.9,46.8,5.214,11.143,31.6,0.857,2.714,77.0,3.357,4.357,1.7,5.0,0.9,1.1,1.3,3.4,2018-2019,Playoffs,F,F,Denver,Colorado
40,Andre Drummond,DET,4,4,14.3,13.0,2.3,31.8,19.0,44.4,6.0,13.5,0.0,0.0,0.25,42.9,2.25,5.25,5.0,8.0,1.5,1.3,2.8,4.3,2018-2019,Playoffs,C,C,Detroit,Michigan
41,Gary Harris,DEN,14,14,14.2,4.1,2.3,36.9,14.9,46.2,5.214,11.286,35.1,1.429,4.071,86.8,2.357,2.714,0.6,3.5,0.9,0.6,0.8,2.7,2018-2019,Playoffs,G,G,Denver,Colorado
42,Kyle Lowry,TOR,20,20,14.2,5.0,6.4,36.8,18.8,43.3,6.1,13.85,35.3,2.6,7.25,80.6,3.25,4.05,0.9,4.1,1.2,0.2,2.2,4.0,2018-2019,Playoffs,G,G,Toronto,Ontario
43,Jaylen Brown,BOS,9,9,13.9,5.8,1.1,30.4,14.3,50.6,4.889,9.667,35.0,1.556,4.444,76.7,2.556,3.333,0.7,5.1,0.7,0.2,1.8,3.3,2018-2019,Playoffs,G,G,Boston,Massachusetts
44,Al Horford,BOS,9,9,13.9,9.0,4.4,34.4,19.0,41.8,5.111,12.222,40.9,2.0,4.889,83.3,1.667,2.0,1.4,7.6,0.4,0.8,2.1,2.3,2018-2019,Playoffs,C,F,Boston,Massachusetts
45,Ben Simmons,PHI,12,12,13.9,7.0,6.0,35.1,21.4,62.1,6.0,9.667,0.0,0.0,0.0,57.5,1.917,3.333,1.9,5.1,1.3,1.0,2.7,3.8,2018-2019,Playoffs,G,F,Philadelphia,Pennsylvania
