排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Giannis Antetokounmpo,MIL,12,12,31.7,14.2,6.8,37.3,34.3,49.1,11.667,23.75,22.0,0.75,3.417,67.9,7.583,11.167,2.2,12.0,0.7,1.3,4.5,3.6,2021-2022,Playoffs,F,F,Milwaukee,Wisconsin
2,Luka Doncic,DAL,15,15,31.7,9.8,6.4,36.8,31.5,45.5,10.667,23.467,34.5,3.4,9.867,77.0,6.933,9.0,0.7,9.1,1.8,0.6,3.9,2.9,2021-2022,Playoffs,F,G,Dallas,Texas
3,Nikola Jokic,DEN,5,5,31.0,13.2,5.8,34.2,37.8,57.5,12.2,21.2,27.8,1.0,3.6,84.8,5.6,6.6,3.4,9.8,1.6,1.0,4.8,4.0,2021-2022,Playoffs,C,C,Denver,Colorado
4,Jimmy Butler,MIA,17,17,27.4,7.4,4.6,37.0,29.8,50.6,9.765,19.294,33.8,1.353,4.0,84.1,6.529,7.765,2.4,4.9,2.1,0.6,1.5,1.5,2021-2022,Playoffs,F,F,Miami,Florida
5,Stephen Curry,GSW,22,18,27.4,5.2,5.9,34.7,25.7,45.9,9.182,20.0,39.7,4.136,10.409,82.9,4.864,5.864,0.5,4.7,1.3,0.4,2.6,2.7,2021-2022,Playoffs,G,G,Golden State,California
6,Ja Morant,MEM,9,9,27.1,8.0,9.8,37.6,29.9,44.0,9.0,20.444,34.0,1.889,5.556,74.7,7.222,9.667,1.4,6.6,2.0,0.4,3.6,2.4,2021-2022,Playoffs,G,G,Memphis,Tennessee
7,Brandon Ingram,NOP,6,6,27.0,6.2,6.2,39.3,24.8,47.5,9.333,19.667,40.7,1.833,4.5,83.0,6.5,7.833,0.7,5.5,0.7,0.3,3.8,1.8,2021-2022,Playoffs,F,F,New Orleans,Louisiana
8,Kevin Durant,BKN,4,4,26.3,5.8,6.3,44.0,20.5,38.6,8.0,20.75,33.3,1.75,5.25,89.5,8.5,9.5,0.5,5.3,1.0,0.3,5.3,3.8,2021-2022,Playoffs,F,F,Brooklyn,New York
9,Jayson Tatum,BOS,24,24,25.6,6.7,6.2,41.0,23.7,42.6,8.375,19.667,39.3,3.208,8.167,80.0,5.667,7.083,1.0,5.7,1.2,0.9,4.2,3.0,2021-2022,Playoffs,F,G,Boston,Massachusetts
10,Donovan Mitchell,UTA,6,6,25.5,4.3,5.7,38.3,19.8,39.8,8.833,22.167,20.8,1.667,8.0,88.1,6.167,7.0,1.0,3.3,0.7,0.5,2.7,2.3,2021-2022,Playoffs,G,G,Utah,Utah
11,Anthony Edwards,MIN,6,6,25.2,4.2,3.0,37.8,21.2,45.5,8.333,18.333,40.4,3.833,9.5,82.4,4.667,5.667,0.7,3.5,1.2,1.2,2.5,3.7,2021-2022,Playoffs,G,G,Minnesota,Minnesota
12,Joel Embiid,PHI,10,10,23.6,10.7,2.1,38.5,24.5,48.4,7.8,16.1,21.2,0.7,3.3,82.0,7.3,8.9,2.1,8.6,0.4,0.8,3.2,3.4,2021-2022,Playoffs,C,F,Philadelphia,Pennsylvania
13,Devin Booker,PHX,10,10,23.3,4.8,4.4,36.6,20.0,45.1,7.9,17.5,43.1,2.8,6.5,88.7,4.7,5.3,1.0,3.8,0.5,0.4,3.2,2.5,2021-2022,Playoffs,G,G,Phoenix,Arizona
14,Jaylen Brown,BOS,24,24,23.1,6.9,3.5,38.3,21.5,47.0,8.208,17.458,37.3,2.5,6.708,76.3,4.167,5.458,1.4,5.5,1.1,0.4,3.1,3.0,2021-2022,Playoffs,G,F,Boston,Massachusetts
15,Pascal Siakam,TOR,6,6,22.8,7.2,5.8,43.3,25.7,47.7,8.5,17.833,23.5,0.667,2.833,86.1,5.167,6.0,1.3,5.8,1.2,1.0,2.2,4.0,2021-2022,Playoffs,F,F,Toronto,Ontario
16,CJ McCollum,NOP,6,6,22.2,6.7,4.8,39.0,18.7,39.2,8.167,20.833,33.3,2.833,8.5,69.2,3.0,4.333,1.8,4.8,0.7,0.8,2.5,2.5,2021-2022,Playoffs,G,G,New Orleans,Louisiana
17,Karl Anthony Towns,MIN,6,6,21.8,10.8,2.2,37.0,25.0,48.8,6.5,13.333,45.5,1.667,3.667,86.0,7.167,8.333,1.8,9.0,0.7,2.0,4.5,4.2,2021-2022,Playoffs,C,F,Minnesota,Minnesota
18,Jalen Brunson,DAL,18,18,21.6,4.6,3.7,34.9,19.4,46.6,8.056,17.278,34.7,1.444,4.167,80.0,4.0,5.0,0.8,3.8,0.8,0.1,1.1,2.1,2021-2022,Playoffs,G,G,Dallas,Texas
