排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Stephen Curry,GSW,63,63,32.0,5.5,5.8,34.2,29.4,48.2,10.444,21.667,42.1,5.349,12.714,91.6,5.746,6.27,0.5,5.0,1.2,0.1,3.4,1.9,2020-2021,RegularSeason,G,G,Golden State,California
2,Bradley Beal,WAS,60,60,31.3,4.7,4.4,35.8,26.1,48.5,11.167,23.033,34.9,2.167,6.217,88.9,6.8,7.65,1.2,3.5,1.2,0.4,3.1,2.3,2020-2021,RegularSeason,G,G,Washington,D.C.
3,Damian Lillard,POR,67,67,28.8,4.2,7.5,35.8,27.2,45.1,8.985,19.91,39.1,4.104,10.507,92.8,6.701,7.224,0.5,3.7,0.9,0.3,3.0,1.5,2020-2021,RegularSeason,G,G,Portland,Oregon
4,Joel Embiid,PHI,51,51,28.5,10.6,2.8,31.1,31.0,51.3,9.039,17.627,37.7,1.137,3.02,85.9,9.235,10.745,2.2,8.4,1.0,1.4,3.1,2.4,2020-2021,RegularSeason,C,F,Philadelphia,Pennsylvania
5,Giannis Antetokounmpo,MIL,61,61,28.1,11.0,5.9,33.0,33.2,56.9,10.262,18.033,30.3,1.098,3.623,68.5,6.525,9.525,1.6,9.4,1.2,1.2,3.4,2.8,2020-2021,RegularSeason,F,F,Milwaukee,Wisconsin
6,Luka Doncic,DAL,66,66,27.7,8.0,8.6,34.3,29.0,47.9,9.803,20.47,35.0,2.909,8.303,73.0,5.212,7.136,0.8,7.2,1.0,0.5,4.3,2.3,2020-2021,RegularSeason,F,G,Dallas,Texas
7,Zach LaVine,CHI,58,58,27.4,5.0,4.9,35.1,24.7,50.7,9.81,19.362,41.9,3.448,8.224,84.9,4.362,5.138,0.6,4.4,0.8,0.5,3.5,2.4,2020-2021,RegularSeason,G,F,Chicago,Illinois
8,Zion Williamson,NOP,61,61,27.0,7.2,3.7,33.2,27.5,61.1,10.393,17.0,29.4,0.164,0.557,69.8,6.049,8.672,2.7,4.5,0.9,0.6,2.7,2.2,2020-2021,RegularSeason,F,F,New Orleans,Louisiana
9,Kevin Durant,BKN,35,32,26.9,7.1,5.6,33.1,29.4,53.7,9.257,17.229,45.0,2.429,5.4,88.2,6.0,6.8,0.4,6.7,0.7,1.3,3.4,2.0,2020-2021,RegularSeason,F,F,Brooklyn,New York
10,Kyrie Irving,BKN,54,54,26.9,4.8,6.0,34.9,27.1,50.6,10.167,20.111,40.2,2.815,7.0,92.2,3.722,4.037,1.0,3.8,1.4,0.7,2.4,2.6,2020-2021,RegularSeason,G,G,Brooklyn,New York
11,Nikola Jokic,DEN,72,72,26.4,10.8,8.3,34.6,35.9,56.6,10.167,17.958,38.8,1.278,3.292,86.8,4.75,5.472,2.8,8.0,1.3,0.7,3.1,2.7,2020-2021,RegularSeason,C,C,Denver,Colorado
12,Donovan Mitchell,UTA,53,53,26.4,4.4,5.2,33.4,22.1,43.8,9.019,20.585,38.6,3.358,8.698,84.5,5.038,5.962,0.9,3.5,1.0,0.3,2.8,2.2,2020-2021,RegularSeason,G,G,Utah,Utah
13,Jayson Tatum,BOS,64,64,26.4,7.4,4.3,35.8,25.3,45.9,9.453,20.594,38.6,2.922,7.578,86.8,4.609,5.313,0.8,6.6,1.2,0.5,2.7,1.9,2020-2021,RegularSeason,F,G,Boston,Massachusetts
14,Devin Booker,PHX,67,67,25.6,4.2,4.3,33.9,21.3,48.4,9.299,19.209,34.0,1.881,5.537,86.7,5.075,5.851,0.5,3.7,0.8,0.2,3.1,2.7,2020-2021,RegularSeason,G,G,Phoenix,Arizona
15,Trae Young,ATL,63,63,25.3,3.9,9.4,33.7,24.6,43.8,7.73,17.651,34.3,2.159,6.302,88.6,7.683,8.667,0.6,3.3,0.8,0.2,4.1,1.8,2020-2021,RegularSeason,G,G,Atlanta,Georgia
16,De'Aaron Fox,SAC,58,58,25.2,3.5,7.2,35.1,22.8,47.7,9.121,19.138,32.2,1.776,5.517,71.9,5.172,7.19,0.6,2.9,1.5,0.5,3.0,2.9,2020-2021,RegularSeason,G,G,Sacramento,California
17,LeBron James,LAL,45,45,25.0,7.7,7.8,33.4,27.8,51.3,9.378,18.289,36.5,2.311,6.333,69.8,3.956,5.667,0.6,7.0,1.1,0.6,3.7,1.6,2020-2021,RegularSeason,F,F,Los Angeles,California
18,Kawhi Leonard,LAC,52,52,24.8,6.5,5.2,34.1,27.3,51.2,8.942,17.462,39.8,1.942,4.885,88.5,5.019,5.673,1.1,5.4,1.6,0.4,2.0,1.6,2020-2021,RegularSeason,F,F,LA,California
19,Karl Anthony Towns,MIN,50,50,24.8,10.6,4.5,33.8,28.7,48.6,8.5,17.5,38.7,2.44,6.3,85.9,5.34,6.22,2.7,7.9,0.8,1.1,3.2,3.7,2020-2021,RegularSeason,C,F,Minnesota,Minnesota
20,Jaylen Brown,BOS,58,58,24.7,6.0,3.4,34.5,22.2,48.4,9.276,19.155,39.7,2.81,7.086,76.4,3.293,4.31,1.2,4.8,1.2,0.6,2.7,2.9,2020-2021,RegularSeason,G,F,Boston,Massachusetts
21,James Harden,BKN,44,43,24.6,7.9,10.8,36.6,31.3,46.6,7.773,16.682,36.2,2.75,7.591,86.1,6.318,7.341,0.8,7.1,1.2,0.8,4.0,2.2,2020-2021,RegularSeason,G,G,Brooklyn,New York
22,Collin Sexton,CLE,60,60,24.3,3.1,4.4,35.3,19.4,47.5,8.75,18.417,37.1,1.633,4.4,81.5,5.2,6.383,1.0,2.2,1.0,0.2,2.8,2.6,2020-2021,RegularSeason,G,G,Cleveland,Ohio
