排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
93,Nicolas Batum,LAC,19,10,8.1,5.5,2.1,29.2,13.9,48.6,2.789,5.737,38.9,1.474,3.789,82.6,1.0,1.211,1.0,4.5,1.3,0.5,0.3,1.4,2020-2021,Playoffs,G,F,LA,California
94,Jalen Brunson,DAL,7,0,8.0,2.6,1.4,16.3,7.6,45.5,2.857,6.286,46.2,0.857,1.857,76.9,1.429,1.857,0.9,1.7,0.0,0.0,0.6,0.9,2020-2021,Playoffs,G,G,Dallas,Texas
95,Bruce Brown,BKN,12,5,7.9,5.1,2.1,23.1,11.8,50.6,3.333,6.583,18.2,0.167,0.917,81.3,1.083,1.333,1.9,3.2,0.7,0.4,0.9,2.6,2020-2021,Playoffs,G,F,Brooklyn,New York
96,Lou Williams,ATL,18,2,7.7,1.4,2.2,15.4,7.4,45.5,2.778,6.111,43.3,0.722,1.667,96.3,1.444,1.5,0.1,1.3,0.7,0.1,1.2,0.9,2020-2021,Playoffs,G,G,Atlanta,Georgia
97,DeMarcus Cousins,LAC,7,0,7.6,2.0,0.7,8.3,6.6,45.2,2.714,6.0,40.0,0.571,1.429,78.6,1.571,2.0,0.9,1.1,0.3,0.4,0.7,1.9,2020-2021,Playoffs,C,C,LA,California
98,Terance Mann,LAC,19,6,7.6,2.7,0.7,19.9,8.6,51.9,2.842,5.474,43.2,0.842,1.947,71.4,1.053,1.474,0.9,1.8,0.5,0.3,0.2,2.2,2020-2021,Playoffs,G,F,LA,California
99,Robin Lopez,WAS,5,0,7.4,1.8,0.0,14.6,7.8,72.0,3.6,5.0,0.0,0.0,0.0,25.0,0.2,0.8,0.8,1.0,0.0,0.8,0.2,1.4,2020-2021,Playoffs,C,C,Washington,D.C.
100,Danny Green,PHI,8,8,7.0,2.6,2.6,24.9,10.4,43.8,2.625,6.0,37.8,1.75,4.625,0.0,0.0,0.0,1.1,1.5,1.1,1.0,0.6,1.6,2020-2021,Playoffs,G,G,Philadelphia,Pennsylvania
101,Furkan Korkmaz,PHI,12,4,7.0,2.0,0.6,16.3,6.1,41.1,2.5,6.083,31.8,1.167,3.667,71.4,0.833,1.167,0.3,1.7,0.6,0.3,0.4,0.8,2020-2021,Playoffs,G,F,Philadelphia,Pennsylvania
102,Pat Connaughton,MIL,23,1,6.9,4.4,0.9,23.7,9.4,46.2,2.391,5.174,38.9,1.609,4.13,84.6,0.478,0.565,1.3,3.1,0.4,0.3,0.5,1.7,2020-2021,Playoffs,G,G,Milwaukee,Wisconsin
103,Ish Smith,WAS,5,0,6.8,3.2,2.8,22.2,8.2,37.2,3.2,8.6,28.6,0.4,1.4,0.0,0.0,0.0,0.2,3.0,1.4,0.4,1.0,2.2,2020-2021,Playoffs,G,G,Washington,D.C.
104,Bryn Forbes,MIL,20,0,6.6,1.4,0.3,13.7,4.7,41.1,2.3,5.6,37.1,1.65,4.45,75.0,0.3,0.4,0.1,1.3,0.1,0.1,0.4,0.8,2020-2021,Playoffs,G,G,Milwaukee,Wisconsin
105,Talen Horton-Tucker,LAL,4,0,6.5,3.5,0.5,12.0,6.3,45.8,2.75,6.0,20.0,0.25,1.25,60.0,0.75,1.25,0.5,3.0,0.3,0.0,0.8,0.8,2020-2021,Playoffs,G,G,Los Angeles,California
106,Anfernee Simons,POR,6,0,6.5,2.7,0.8,17.8,8.5,56.0,2.333,4.167,61.1,1.833,3.0,0.0,0.0,0.0,0.5,2.2,0.3,0.2,0.2,1.0,2020-2021,Playoffs,G,G,Portland,Oregon
107,Grayson Allen,MEM,5,0,6.4,2.6,0.2,23.2,5.2,36.4,2.4,6.6,38.1,1.6,4.2,0.0,0.0,0.2,0.6,2.0,0.4,0.2,0.2,2.6,2020-2021,Playoffs,G,G,Memphis,Tennessee
108,Paul Millsap,DEN,9,0,6.4,3.9,1.7,12.1,8.4,44.0,2.444,5.556,26.1,0.667,2.556,61.5,0.889,1.444,1.0,2.9,0.3,0.7,0.9,1.6,2020-2021,Playoffs,F,F,Denver,Colorado
109,Raul Neto,WAS,5,3,6.4,2.2,1.0,22.4,5.2,35.3,2.4,6.8,26.7,0.8,3.0,80.0,0.8,1.0,0.6,1.6,0.4,0.0,0.2,2.2,2020-2021,Playoffs,G,G,Washington,D.C.
