排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
11,Kyrie Irving,BOS,60,60,24.4,3.8,5.1,32.2,22.7,49.1,8.9,18.117,40.8,2.767,6.783,88.9,3.867,4.35,0.6,3.2,1.1,0.3,2.3,2.0,2017-2018,RegularSeason,G,G,Boston,Massachusetts
12,LaMarcus Aldridge,SAS,75,75,23.1,8.5,2.0,33.5,24.3,51.0,9.16,17.96,29.3,0.36,1.227,83.7,4.453,5.32,3.3,5.2,0.6,1.2,1.5,2.1,2017-2018,RegularSeason,F,F,San Antonio,Texas
13,Victor Oladipo,IND,75,75,23.1,5.2,4.3,34.0,22.5,47.7,8.533,17.893,37.1,2.147,5.787,79.9,3.92,4.907,0.6,4.6,2.4,0.8,2.9,2.3,2017-2018,RegularSeason,G,G,Indiana,Indiana
14,DeMar DeRozan,TOR,80,80,23.0,3.9,5.2,33.9,20.5,45.6,8.063,17.663,31.0,1.113,3.587,82.5,5.763,6.987,0.7,3.2,1.1,0.3,2.2,1.9,2017-2018,RegularSeason,G,G,Toronto,Ontario
15,Joel Embiid,PHI,63,63,22.9,11.0,3.2,30.3,25.3,48.3,8.095,16.762,30.8,1.048,3.397,76.9,5.698,7.413,2.3,8.7,0.6,1.8,3.7,3.3,2017-2018,RegularSeason,C,C,Philadelphia,Pennsylvania
16,Kristaps Porzingis,NYK,48,48,22.7,6.6,1.2,32.4,20.1,43.9,8.125,18.521,39.5,1.875,4.75,79.3,4.542,5.729,1.3,5.3,0.8,2.4,1.9,2.9,2017-2018,RegularSeason,F,C,New York,New York
17,Bradley Beal,WAS,82,82,22.6,4.4,4.5,36.3,19.9,46.0,8.329,18.098,37.5,2.427,6.463,79.1,3.561,4.5,0.7,3.7,1.2,0.4,2.6,2.0,2017-2018,RegularSeason,G,G,Washington,D.C.
18,Lou Williams,LAC,79,19,22.6,2.5,5.3,32.8,18.4,43.5,7.367,16.924,35.9,2.354,6.557,88.0,5.468,6.215,0.5,2.0,1.1,0.2,3.0,1.3,2017-2018,RegularSeason,G,G,LA,California
19,Jimmy Butler,MIN,59,59,22.2,5.3,4.9,36.7,23.6,47.4,7.407,15.61,35.0,1.186,3.39,85.4,6.153,7.203,1.3,4.0,2.0,0.4,1.8,1.3,2017-2018,RegularSeason,G,G,Minnesota,Minnesota
20,Kemba Walker,CHA,80,80,22.1,3.1,5.6,34.2,19.6,43.1,7.35,17.038,38.4,2.888,7.513,86.4,4.537,5.25,0.4,2.7,1.1,0.3,2.2,1.2,2017-2018,RegularSeason,G,G,Charlotte,North Carolina
21,Paul George,OKC,79,79,21.9,5.7,3.3,36.6,20.2,43.0,7.291,16.962,40.1,3.089,7.709,82.2,4.278,5.203,0.9,4.7,2.0,0.5,2.7,2.9,2017-2018,RegularSeason,F,F,Oklahoma City,Oklahoma
22,Blake Griffin,DET,58,58,21.4,7.4,5.8,34.0,21.8,43.8,7.517,17.172,34.5,1.914,5.552,78.5,4.466,5.69,1.3,6.1,0.7,0.3,2.8,2.4,2017-2018,RegularSeason,F,F,Detroit,Michigan
23,CJ McCollum,POR,81,81,21.4,4.0,3.4,36.1,17.4,44.3,8.235,18.58,39.7,2.333,5.877,83.6,2.58,3.086,0.7,3.3,1.0,0.4,1.9,2.1,2017-2018,RegularSeason,G,G,Portland,Oregon
24,Karl Anthony Towns,MIN,82,82,21.3,12.3,2.4,35.6,29.1,54.5,7.793,14.293,42.1,1.463,3.476,85.8,4.207,4.902,2.9,9.4,0.8,1.4,1.9,3.5,2017-2018,RegularSeason,C,C,Minnesota,Minnesota
25,Donovan Mitchell,UTA,79,71,20.5,3.7,3.7,33.4,16.6,43.7,7.532,17.241,34.0,2.367,6.962,80.5,3.025,3.759,0.7,3.1,1.5,0.3,2.7,2.7,2017-2018,RegularSeason,G,G,Utah,Utah
26,MarShon Brooks,MEM,7,1,20.1,3.0,3.6,27.6,18.7,50.0,7.286,14.571,59.4,2.714,4.571,87.0,2.857,3.286,1.1,1.9,1.6,0.4,2.3,0.9,2017-2018,RegularSeason,G,F,Memphis,Tennessee
27,Khris Middleton,MIL,82,82,20.1,5.2,4.0,36.4,20.0,46.6,7.232,15.512,35.9,1.78,4.963,88.4,3.902,4.415,0.5,4.7,1.5,0.3,2.3,3.3,2017-2018,RegularSeason,F,F,Milwaukee,Wisconsin
28,Klay Thompson,GSW,73,73,20.0,3.8,2.5,34.3,17.3,48.9,7.877,16.123,44.0,3.137,7.123,83.7,1.123,1.342,0.4,3.4,0.8,0.5,1.8,1.6,2017-2018,RegularSeason,G,G,Golden State,California
29,T.J. Warren,PHX,65,65,19.6,5.1,1.3,33.0,17.1,49.8,8.138,16.354,22.2,0.308,1.385,75.7,2.969,3.923,1.9,3.2,1.0,0.6,1.3,2.3,2017-2018,RegularSeason,F,F,Phoenix,Arizona
30,Tyreke Evans,MEM,52,32,19.4,5.1,5.2,30.9,19.5,45.2,7.038,15.558,39.9,2.192,5.5,78.5,3.154,4.019,0.8,4.3,1.1,0.3,2.3,1.8,2017-2018,RegularSeason,G,F,Memphis,Tennessee
31,Dennis Schroder,ATL,67,67,19.4,3.1,6.2,31.0,16.9,43.6,7.463,17.104,29.0,1.134,3.91,84.9,3.358,3.955,0.7,2.4,1.1,0.1,2.7,2.2,2017-2018,RegularSeason,G,G,Atlanta,Georgia
32,John Wall,WAS,41,41,19.4,3.7,9.6,34.4,20.3,42.0,6.829,16.268,37.1,1.512,4.073,72.6,4.268,5.878,0.5,3.1,1.4,1.1,3.9,2.0,2017-2018,RegularSeason,G,G,Washington,D.C.
33,Jrue Holiday,NOP,81,81,19.0,4.5,6.0,36.1,20.8,49.4,7.593,15.358,33.7,1.481,4.395,78.6,2.309,2.938,0.8,3.7,1.5,0.8,2.6,2.5,2017-2018,RegularSeason,G,G,New Orleans,Louisiana
34,Harrison Barnes,DAL,77,77,18.9,6.1,2.0,34.2,16.8,44.5,6.974,15.688,35.7,1.545,4.325,82.7,3.364,4.065,1.0,5.1,0.6,0.2,1.5,1.2,2017-2018,RegularSeason,F,F,Dallas,Texas
35,Tobias Harris,LAC,80,80,18.6,5.5,2.4,33.4,17.8,46.0,7.025,15.262,41.1,2.288,5.563,82.9,2.237,2.7,0.7,4.7,0.9,0.4,1.3,2.0,2017-2018,RegularSeason,F,F,LA,California
36,Chris Paul,HOU,58,58,18.6,5.4,7.9,31.8,23.9,46.0,6.328,13.759,38.0,2.483,6.534,91.9,3.5,3.81,0.6,4.8,1.7,0.2,2.2,2.4,2017-2018,RegularSeason,G,G,Houston,Texas
37,Nikola Jokic,DEN,75,73,18.5,10.7,6.1,32.6,27.1,49.9,6.72,13.467,39.6,1.48,3.733,85.0,3.547,4.173,2.6,8.1,1.2,0.8,2.8,2.8,2017-2018,RegularSeason,C,C,Denver,Colorado
38,Eric Gordon,HOU,69,30,18.0,2.5,2.2,31.2,13.1,42.8,6.014,14.058,35.9,3.159,8.812,80.9,2.826,3.493,0.4,2.1,0.6,0.4,1.9,1.7,2017-2018,RegularSeason,G,G,Houston,Texas
39,Jeremy Lin,BKN,1,1,18.0,0.0,4.0,25.0,12.0,41.7,5.0,12.0,50.0,1.0,2.0,100.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,2017-2018,RegularSeason,G,G,Brooklyn,New York
40,Evan Fournier,ORL,57,57,17.8,3.2,2.9,32.2,15.2,45.9,6.456,14.07,37.9,2.228,5.877,86.7,2.632,3.035,0.4,2.8,0.8,0.3,1.7,2.4,2017-2018,RegularSeason,G,F,Orlando,Florida
41,Eric Bledsoe,MIL,74,74,17.7,3.8,5.0,31.4,18.3,47.3,6.324,13.365,34.7,1.689,4.865,79.5,3.405,4.284,0.7,3.1,2.0,0.6,2.9,2.5,2017-2018,RegularSeason,G,G,Milwaukee,Wisconsin
42,Andrew Wiggins,MIN,82,82,17.7,4.4,2.0,36.3,13.8,43.8,6.939,15.854,33.1,1.366,4.122,64.3,2.463,3.829,1.0,3.4,1.1,0.6,1.7,2.0,2017-2018,RegularSeason,F,F,Minnesota,Minnesota
43,Aaron Gordon,ORL,58,57,17.6,7.9,2.3,32.9,18.2,43.4,6.466,14.914,33.6,1.983,5.897,69.8,2.707,3.879,1.5,6.4,1.0,0.8,1.8,1.9,2017-2018,RegularSeason,F,F,Orlando,Florida
44,Kevin Love,CLE,59,59,17.6,9.3,1.7,28.0,21.0,45.8,5.661,12.356,41.5,2.322,5.593,88.0,3.966,4.508,1.7,7.5,0.7,0.4,1.5,2.0,2017-2018,RegularSeason,C,F,Cleveland,Ohio
45,Tim Hardaway Jr.,NYK,57,54,17.5,3.9,2.7,33.1,14.5,42.1,6.316,15.018,31.7,2.281,7.193,81.6,2.561,3.14,0.6,3.4,1.1,0.2,1.6,2.2,2017-2018,RegularSeason,F,G,New York,New York
46,Gary Harris,DEN,67,65,17.5,2.6,2.9,34.4,15.9,48.5,6.567,13.552,39.6,2.328,5.881,82.7,2.0,2.418,0.6,2.1,1.8,0.2,1.8,1.8,2017-2018,RegularSeason,G,G,Denver,Colorado
47,Goran Dragic,MIA,75,75,17.3,4.1,4.8,31.7,16.3,45.0,6.453,14.333,37.0,1.48,4.0,80.1,2.893,3.613,0.7,3.4,0.8,0.2,2.2,2.4,2017-2018,RegularSeason,G,G,Miami,Florida
48,Marc Gasol,MEM,73,73,17.2,8.1,4.2,33.0,20.0,42.0,5.945,14.151,34.1,1.493,4.384,83.4,3.849,4.616,1.1,7.0,0.7,1.4,2.7,2.5,2017-2018,RegularSeason,C,C,Memphis,Tennessee
49,Mike Conley,MEM,12,12,17.1,2.3,4.1,31.1,13.4,38.1,5.333,14.0,31.2,2.0,6.417,80.3,4.417,5.5,0.0,2.3,1.0,0.3,1.5,2.0,2017-2018,RegularSeason,G,G,Memphis,Tennessee
50,JJ Redick,PHI,70,70,17.1,2.5,3.0,30.2,14.7,46.0,5.771,12.557,42.0,2.757,6.571,90.4,2.814,3.114,0.1,2.4,0.5,0.1,1.5,1.8,2017-2018,RegularSeason,G,F,Philadelphia,Pennsylvania
51,Zach LaVine,CHI,24,24,16.7,3.9,3.0,27.3,13.0,38.3,5.667,14.792,34.1,1.75,5.125,81.3,3.625,4.458,0.4,3.5,1.0,0.2,1.8,2.3,2017-2018,RegularSeason,G,G,Chicago,Illinois
52,Jamal Murray,DEN,81,80,16.7,3.7,3.4,31.7,15.4,45.1,5.914,13.111,37.8,2.037,5.383,90.5,2.827,3.123,1.0,2.7,1.0,0.3,2.1,2.1,2017-2018,RegularSeason,G,G,Denver,Colorado
53,Dwight Howard,CHA,81,81,16.6,12.5,1.3,30.4,22.0,55.5,6.247,11.247,14.3,0.012,0.086,57.4,4.123,7.185,3.1,9.3,0.6,1.6,2.6,3.1,2017-2018,RegularSeason,C,C,Charlotte,North Carolina
54,Nikola Vucevic,ORL,57,57,16.5,9.2,3.4,29.5,21.1,47.5,7.0,14.737,31.4,1.123,3.579,81.9,1.351,1.649,1.8,7.4,1.0,1.1,1.9,2.5,2017-2018,RegularSeason,C,C,Orlando,Florida
55,Carmelo Anthony,OKC,78,78,16.2,5.8,1.3,32.1,13.8,40.4,6.051,14.974,35.7,2.167,6.077,76.7,1.897,2.474,0.9,4.9,0.6,0.6,1.3,2.5,2017-2018,RegularSeason,F,F,Oklahoma City,Oklahoma
56,Kawhi Leonard,SAS,9,9,16.2,4.7,2.3,23.3,17.1,46.8,5.778,12.333,31.4,1.222,3.889,81.6,3.444,4.222,0.7,4.0,2.0,1.0,1.8,1.0,2017-2018,RegularSeason,F,F,San Antonio,Texas
57,Kyle Lowry,TOR,78,78,16.2,5.6,6.9,32.2,20.3,42.7,5.167,12.103,39.9,3.051,7.641,85.4,2.859,3.346,0.8,4.7,1.1,0.2,2.3,2.5,2017-2018,RegularSeason,G,G,Toronto,Ontario
58,Brandon Ingram,LAL,59,59,16.1,5.3,3.9,33.5,15.9,47.0,6.068,12.898,39.0,0.695,1.78,68.1,3.254,4.78,1.0,4.4,0.8,0.7,2.5,2.8,2017-2018,RegularSeason,F,G,Los Angeles,California
59,Kyle Kuzma,LAL,77,37,16.1,6.3,1.8,31.2,15.3,45.0,6.078,13.494,36.6,2.065,5.636,70.7,1.909,2.701,1.1,5.1,0.6,0.4,1.8,2.1,2017-2018,RegularSeason,F,F,Los Angeles,California
60,Julius Randle,LAL,82,49,16.1,8.0,2.6,26.7,18.8,55.8,6.146,11.024,22.2,0.122,0.549,71.8,3.72,5.183,2.2,5.8,0.5,0.5,2.6,3.3,2017-2018,RegularSeason,F,C,Los Angeles,California
61,Ben Simmons,PHI,81,81,15.8,8.1,8.2,33.7,23.8,54.5,6.716,12.321,0.0,0.0,0.136,56.0,2.358,4.21,1.8,6.3,1.7,0.9,3.4,2.6,2017-2018,RegularSeason,G,F,Philadelphia,Pennsylvania
62,Will Barton,DEN,81,40,15.7,5.0,4.1,33.1,17.1,45.2,5.741,12.691,37.0,1.926,5.21,80.5,2.247,2.79,0.9,4.2,1.0,0.6,1.8,2.1,2017-2018,RegularSeason,F,G,Denver,Colorado
63,Nikola Mirotic,NOP,55,14,15.6,7.4,1.5,27.2,17.5,44.7,5.564,12.436,37.7,2.455,6.509,81.8,2.036,2.491,1.1,6.3,0.8,0.7,1.1,2.0,2017-2018,RegularSeason,F,F,New Orleans,Louisiana
64,D 'Angelo Russell,BKN,48,35,15.5,3.9,5.2,25.7,13.7,41.4,5.792,14.0,32.4,1.875,5.792,74.0,2.021,2.729,0.6,3.3,0.8,0.4,3.1,1.9,2017-2018,RegularSeason,G,G,Brooklyn,New York
65,Danilo Gallinari,LAC,21,21,15.3,4.8,2.0,32.0,14.3,39.8,4.857,12.19,32.4,1.714,5.286,93.1,3.857,4.143,0.4,4.4,0.6,0.5,1.2,1.4,2017-2018,RegularSeason,F,F,LA,California
66,Lauri Markkanen,CHI,68,68,15.2,7.5,1.2,29.7,16.2,43.4,5.5,12.676,36.2,2.132,5.897,84.3,2.059,2.441,1.2,6.3,0.6,0.6,1.2,1.5,2017-2018,RegularSeason,F,F,Chicago,Illinois
67,Dennis Smith Jr.,DAL,69,69,15.2,3.8,5.2,29.7,12.8,39.5,5.855,14.841,31.3,1.536,4.913,69.4,1.942,2.797,0.7,3.0,1.0,0.3,2.8,2.2,2017-2018,RegularSeason,G,G,Dallas,Texas
68,Isaiah Thomas,LAL,32,15,15.2,2.1,4.8,26.9,11.0,37.3,4.906,13.156,29.3,1.719,5.875,89.3,3.656,4.094,0.5,1.6,0.5,0.1,3.0,1.8,2017-2018,RegularSeason,G,G,Los Angeles,California
69,Austin Rivers,LAC,61,59,15.1,2.4,4.0,33.7,12.6,42.4,5.59,13.197,37.8,2.23,5.902,64.2,1.672,2.607,0.4,1.9,1.2,0.3,1.8,2.5,2017-2018,RegularSeason,G,G,LA,California
70,Andre Drummond,DET,78,78,15.0,16.0,3.0,33.7,27.2,52.9,5.974,11.295,0.0,0.0,0.141,60.5,3.064,5.064,5.1,10.9,1.5,1.6,2.6,3.2,2017-2018,RegularSeason,C,C,Detroit,Michigan
71,Rodney Hood,CLE,60,23,14.7,2.8,1.6,26.9,11.4,42.9,5.367,12.517,38.1,2.117,5.55,86.0,1.85,2.15,0.4,2.4,0.8,0.2,1.2,1.8,2017-2018,RegularSeason,G,G,Cleveland,Ohio
72,Otto Porter Jr.,WAS,77,77,14.7,6.4,2.0,31.6,18.2,50.3,5.779,11.494,44.1,1.792,4.065,82.8,1.377,1.662,1.3,5.1,1.5,0.5,1.0,2.0,2017-2018,RegularSeason,F,F,Washington,D.C.
73,Reggie Jackson,DET,45,45,14.6,2.8,5.3,26.7,13.3,42.6,5.467,12.822,30.8,1.156,3.756,83.6,2.489,2.978,0.6,2.1,0.6,0.1,2.2,1.9,2017-2018,RegularSeason,G,G,Detroit,Michigan
74,Paul Millsap,DEN,38,37,14.6,6.4,2.8,30.1,16.7,46.4,5.316,11.447,34.5,1.026,2.974,69.6,2.947,4.237,1.7,4.7,1.0,1.2,1.9,2.6,2017-2018,RegularSeason,F,F,Denver,Colorado
75,Dario Saric,PHI,78,73,14.6,6.7,2.6,29.6,16.3,45.3,5.167,11.41,39.3,2.013,5.115,86.0,2.282,2.654,2.0,4.7,0.7,0.3,1.9,2.1,2017-2018,RegularSeason,F,F,Philadelphia,Pennsylvania
76,Jaylen Brown,BOS,70,70,14.5,4.9,1.6,30.7,13.4,46.5,5.329,11.471,39.5,1.729,4.371,64.4,2.143,3.329,0.9,4.0,1.0,0.4,1.8,2.6,2017-2018,RegularSeason,G,F,Boston,Massachusetts
77,Zach Randolph,SAC,59,58,14.5,6.7,2.2,25.6,15.1,47.3,6.119,12.932,34.7,0.864,2.492,78.5,1.424,1.814,1.6,5.1,0.7,0.2,2.0,2.0,2017-2018,RegularSeason,F,F,Sacramento,California
78,Bojan Bogdanovic,IND,80,80,14.3,3.4,1.5,30.8,12.7,47.4,5.05,10.65,40.2,1.938,4.825,86.8,2.225,2.563,0.4,3.0,0.7,0.1,1.3,1.6,2017-2018,RegularSeason,F,G,Indiana,Indiana
79,Avery Bradley,LAC,46,46,14.3,2.5,2.0,31.2,9.5,41.4,5.63,13.587,36.9,1.63,4.413,76.8,1.37,1.783,0.5,2.0,1.1,0.2,2.2,2.0,2017-2018,RegularSeason,G,G,LA,California
80,Jusuf Nurkic,POR,79,79,14.3,9.0,1.8,26.4,17.8,50.5,6.076,12.038,0.0,0.0,0.089,63.0,2.177,3.456,2.4,6.6,0.8,1.4,2.3,3.1,2017-2018,RegularSeason,C,C,Portland,Oregon
81,Dion Waiters,MIA,30,30,14.3,2.6,3.8,30.6,10.5,39.8,5.433,13.667,30.6,1.733,5.667,73.9,1.7,2.3,0.3,2.3,0.8,0.3,2.3,2.0,2017-2018,RegularSeason,G,G,Miami,Florida
82,Jeff Teague,MIN,70,70,14.2,3.0,7.0,33.0,16.7,44.6,5.057,11.343,36.8,1.2,3.257,84.5,2.886,3.414,0.3,2.6,1.5,0.3,2.5,2.4,2017-2018,RegularSeason,G,G,Minnesota,Minnesota
83,Enes Freedom,NYK,71,71,14.1,11.0,1.5,25.8,21.4,59.2,5.944,10.042,0.0,0.0,0.028,84.8,2.197,2.592,3.8,7.1,0.5,0.5,1.7,2.6,2017-2018,RegularSeason,C,C,New York,New York
84,Taurean Prince,ATL,82,82,14.1,4.7,2.6,30.0,13.5,42.6,5.061,11.89,38.5,2.146,5.573,84.4,1.854,2.195,0.6,4.1,1.0,0.5,2.3,2.0,2017-2018,RegularSeason,F,F,Atlanta,Georgia
85,Hassan Whiteside,MIA,54,54,14.0,11.4,1.0,25.3,21.2,54.0,5.778,10.704,100.0,0.037,0.037,70.3,2.37,3.37,3.2,8.2,0.7,1.7,1.7,2.4,2017-2018,RegularSeason,C,C,Miami,Florida
86,Steven Adams,OKC,76,76,13.9,9.0,1.2,32.7,19.5,62.9,5.895,9.368,0.0,0.0,0.026,55.9,2.105,3.763,5.1,4.0,1.2,1.0,1.7,2.8,2017-2018,RegularSeason,C,C,Oklahoma City,Oklahoma
87,Clint Capela,HOU,74,74,13.9,10.8,0.9,27.5,22.2,65.2,5.959,9.135,0.0,0.0,0.014,56.0,1.946,3.473,3.3,7.6,0.8,1.9,1.4,2.5,2017-2018,RegularSeason,C,C,Houston,Texas
88,Jordan Clarkson,CLE,81,2,13.9,2.7,2.7,23.3,11.6,45.1,5.309,11.778,35.2,1.383,3.926,80.0,1.877,2.346,0.7,2.0,0.7,0.1,1.6,1.3,2017-2018,RegularSeason,G,G,Cleveland,Ohio
89,Rondae Hollis Jefferson,BKN,68,59,13.9,6.8,2.5,28.3,16.4,47.2,5.029,10.647,24.1,0.191,0.794,78.8,3.662,4.647,1.5,5.3,1.0,0.7,1.8,2.1,2017-2018,RegularSeason,F,F,Brooklyn,New York
90,Jonathon Simmons,ORL,69,50,13.9,3.5,2.5,29.4,12.1,46.5,5.13,11.029,33.8,1.0,2.957,76.8,2.681,3.493,0.9,2.6,0.8,0.2,2.1,2.5,2017-2018,RegularSeason,F,F,Orlando,Florida
91,Jayson Tatum,BOS,80,80,13.9,5.0,1.6,30.5,14.8,47.5,4.963,10.438,43.4,1.313,3.025,82.6,2.663,3.225,0.6,4.4,1.0,0.7,1.4,2.1,2017-2018,RegularSeason,F,F,Boston,Massachusetts
92,Marcus Morris Sr.,BOS,54,21,13.6,5.4,1.3,26.7,12.9,42.9,4.852,11.315,36.8,1.593,4.333,80.5,2.296,2.852,0.8,4.6,0.6,0.2,1.2,1.9,2017-2018,RegularSeason,F,F,Boston,Massachusetts
93,DeMarre Carroll,BKN,73,73,13.5,6.6,2.0,29.9,14.8,41.4,4.452,10.753,37.1,1.986,5.356,76.4,2.575,3.37,1.4,5.1,0.8,0.4,1.4,2.3,2017-2018,RegularSeason,F,F,Brooklyn,New York
94,Rudy Gobert,UTA,56,56,13.5,10.7,1.4,32.4,22.1,62.2,4.929,7.929,0.0,0.0,0.0,68.2,3.643,5.339,2.9,7.8,0.8,2.3,1.9,2.7,2017-2018,RegularSeason,C,C,Utah,Utah
95,Buddy Hield,SAC,80,13,13.5,3.8,1.9,25.3,12.5,44.6,5.2,11.662,43.1,2.2,5.1,87.7,0.887,1.012,0.7,3.2,1.1,0.3,1.6,1.9,2017-2018,RegularSeason,G,G,Sacramento,California
96,Kentavious Caldwell-Pope,LAL,74,74,13.4,5.2,2.2,33.2,14.4,42.6,4.595,10.784,38.3,2.149,5.608,78.9,2.068,2.622,0.8,4.4,1.4,0.2,1.3,2.0,2017-2018,RegularSeason,G,G,Los Angeles,California
97,Kris Dunn,CHI,52,43,13.4,4.3,6.0,29.3,15.4,42.9,5.5,12.808,32.1,0.827,2.577,73.7,1.615,2.192,0.5,3.8,2.0,0.5,2.9,3.3,2017-2018,RegularSeason,G,G,Chicago,Illinois
98,Michael Beasley,NYK,74,30,13.2,5.6,1.7,22.3,13.7,50.7,5.527,10.905,39.5,0.459,1.162,78.0,1.676,2.149,1.3,4.3,0.5,0.6,1.9,2.0,2017-2018,RegularSeason,F,F,New York,New York
99,Allen Crabbe,BKN,75,68,13.2,4.3,1.6,29.3,12.3,40.7,4.493,11.027,37.8,2.68,7.093,85.2,1.533,1.8,0.4,3.9,0.6,0.5,1.0,2.2,2017-2018,RegularSeason,G,F,Brooklyn,New York
100,Bobby Portis,CHI,73,4,13.2,6.8,1.7,22.5,14.9,47.1,5.233,11.11,35.9,1.096,3.055,76.9,1.644,2.137,2.2,4.6,0.7,0.3,1.4,1.8,2017-2018,RegularSeason,F,F,Chicago,Illinois
101,Josh Jackson,PHX,77,35,13.1,4.6,1.5,25.4,10.5,41.7,5.052,12.104,26.3,0.74,2.818,63.4,2.299,3.623,1.2,3.3,1.0,0.5,1.9,2.8,2017-2018,RegularSeason,G,F,Phoenix,Arizona
102,Ricky Rubio,UTA,77,77,13.1,4.6,5.3,29.3,15.3,41.8,4.494,10.74,35.2,1.247,3.545,86.6,2.857,3.299,0.6,4.0,1.6,0.1,2.7,2.7,2017-2018,RegularSeason,G,G,Utah,Utah
103,Malcolm Brogdon,MIL,48,20,13.0,3.3,3.2,29.9,13.6,48.5,5.083,10.479,38.5,1.292,3.354,88.2,1.563,1.771,0.5,2.8,0.9,0.3,1.4,2.7,2017-2018,RegularSeason,G,G,Milwaukee,Wisconsin
104,Brook Lopez,LAL,74,72,13.0,4.0,1.7,23.4,12.7,46.5,4.986,10.716,34.5,1.514,4.392,70.3,1.5,2.135,1.0,3.0,0.4,1.3,1.3,2.6,2017-2018,RegularSeason,C,C,Los Angeles,California
105,Kent Bazemore,ATL,65,65,12.9,3.8,3.5,27.5,13.3,42.0,4.369,10.4,39.4,1.662,4.215,79.6,2.462,3.092,0.4,3.4,1.5,0.7,2.4,2.3,2017-2018,RegularSeason,G,G,Atlanta,Georgia
106,Al Horford,BOS,72,72,12.9,7.4,4.7,31.6,19.1,48.9,5.111,10.458,42.9,1.347,3.139,78.3,1.306,1.667,1.4,5.9,0.6,1.1,1.8,1.9,2017-2018,RegularSeason,F,C,Boston,Massachusetts
107,Jeremy Lamb,CHA,80,18,12.9,4.1,2.3,24.6,13.3,45.7,4.75,10.4,37.0,1.175,3.175,86.1,2.237,2.6,0.6,3.4,0.8,0.4,1.2,1.7,2017-2018,RegularSeason,G,G,Charlotte,North Carolina
108,Josh Richardson,MIA,81,81,12.9,3.5,2.9,33.2,13.7,45.1,4.926,10.926,37.8,1.568,4.148,84.5,1.481,1.753,0.9,2.7,1.5,0.9,1.7,2.5,2017-2018,RegularSeason,F,F,Miami,Florida
