球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
MIN,82,45.7,41.598,90.951,35.8,14.768,41.293,77.8,17.976,23.098,11.2,32.9,115.9,44.2,25.7,14.33,8.79,5.61,21.78,2021-2022,RegularSeason,Minnesota,Minnesota
MEM,82,46.1,43.549,94.378,35.3,11.524,32.671,73.4,16.988,23.146,14.1,35.0,115.6,49.2,26.0,13.2,9.76,6.5,19.76,2021-2022,RegularSeason,Memphis,Tennessee
MIL,82,46.8,41.817,89.402,36.6,14.061,38.427,77.6,17.793,22.939,10.2,36.5,115.5,46.7,23.9,13.42,7.6,3.98,18.22,2021-2022,RegularSeason,Milwaukee,Wisconsin
CHA,82,46.8,42.78,91.427,36.5,13.939,38.171,74.0,15.829,21.378,10.8,33.7,115.3,44.6,28.1,13.26,8.62,4.9,19.87,2021-2022,RegularSeason,Charlotte,North Carolina
PHX,82,48.5,43.671,90.11,36.4,11.598,31.902,79.7,15.89,19.939,9.8,35.5,114.8,45.3,27.4,12.93,8.56,4.38,19.92,2021-2022,RegularSeason,Phoenix,Arizona
ATL,82,47.0,41.476,88.305,37.4,12.878,34.402,81.2,18.11,22.305,10.0,33.9,113.9,44.0,24.6,11.85,7.16,4.24,18.71,2021-2022,RegularSeason,Atlanta,Georgia
UTA,82,47.1,40.573,86.183,36.0,14.537,40.341,76.7,17.927,23.366,10.8,35.6,113.6,46.3,22.4,14.0,7.17,4.9,18.87,2021-2022,RegularSeason,Utah,Utah
SAS,82,46.7,43.244,92.695,35.2,11.28,32.024,75.4,15.39,20.402,11.0,34.3,113.2,45.3,27.9,12.72,7.63,4.92,18.09,2021-2022,RegularSeason,San Antonio,Texas
BKN,82,47.5,41.976,88.427,36.1,11.463,31.732,80.5,17.488,21.72,10.3,34.1,112.9,44.4,25.3,14.06,7.1,5.46,20.37,2021-2022,RegularSeason,Brooklyn,New York
DEN,82,48.3,41.659,86.329,35.3,12.671,35.902,79.5,16.732,21.037,9.2,34.9,112.7,44.1,27.8,14.5,7.22,3.72,19.99,2021-2022,RegularSeason,Denver,Colorado
LAL,82,46.9,41.646,88.768,34.7,11.976,34.463,73.2,16.829,22.976,9.5,34.5,112.1,44.0,24.0,14.52,7.63,5.18,20.17,2021-2022,RegularSeason,Los Angeles,California
BOS,82,46.6,40.744,87.402,35.6,13.232,37.122,81.6,17.037,20.89,10.5,35.5,111.8,46.1,24.8,13.63,7.21,5.83,18.55,2021-2022,RegularSeason,Boston,Massachusetts
CHI,82,48.0,41.732,86.915,36.9,10.634,28.829,81.3,17.512,21.537,8.7,33.7,111.6,42.3,23.9,12.84,7.13,4.1,18.78,2021-2022,RegularSeason,Chicago,Illinois
IND,82,46.3,41.439,89.488,34.4,12.159,35.354,76.8,16.427,21.39,11.3,32.6,111.5,43.9,25.4,14.43,7.1,5.57,20.43,2021-2022,RegularSeason,Indiana,Indiana
GSW,82,46.9,40.524,86.427,36.4,14.341,39.402,76.9,15.61,20.305,9.8,35.7,111.0,45.5,27.1,14.89,8.77,4.54,21.01,2021-2022,RegularSeason,Golden State,California
