球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
SAC,82,46.0,40.5,88.085,34.4,11.427,33.195,76.8,17.878,23.268,9.6,33.4,110.3,42.9,23.7,14.1,7.17,4.5,18.93,2021-2022,RegularSeason,Sacramento,California
MIA,82,46.7,39.585,84.805,37.9,13.585,35.805,80.8,17.268,21.378,9.8,33.9,110.0,43.7,25.5,14.56,7.39,3.23,20.48,2021-2022,RegularSeason,Miami,Florida
PHI,82,46.6,39.39,84.537,36.4,11.585,31.805,82.1,19.573,23.841,8.5,33.8,109.9,42.3,23.7,12.52,7.72,5.31,19.39,2021-2022,RegularSeason,Philadelphia,Pennsylvania
HOU,82,45.6,39.378,86.378,34.9,13.476,38.659,71.3,17.488,24.512,9.6,32.4,109.7,42.0,23.6,16.48,7.32,4.66,20.63,2021-2022,RegularSeason,Houston,Texas
TOR,82,44.5,40.634,91.329,34.9,11.939,34.244,75.9,16.183,21.329,13.4,32.0,109.4,45.3,22.1,12.45,9.0,4.59,19.6,2021-2022,RegularSeason,Toronto,Ontario
NOP,82,45.7,40.171,87.951,33.2,10.646,32.061,78.9,18.305,23.207,12.0,33.2,109.3,45.2,25.0,14.06,8.29,4.0,19.66,2021-2022,RegularSeason,New Orleans,Louisiana
WAS,82,47.2,40.573,86.049,34.2,10.488,30.634,78.3,16.988,21.683,9.0,34.1,108.6,43.1,25.0,13.13,6.37,4.95,18.84,2021-2022,RegularSeason,Washington,D.C.
LAC,82,45.8,40.061,87.439,37.4,12.768,34.171,79.3,15.524,19.585,9.1,34.9,108.4,44.0,24.0,13.73,7.42,4.95,18.63,2021-2022,RegularSeason,LA,California
DAL,82,46.1,39.293,85.146,35.0,13.085,37.354,77.1,16.354,21.207,9.3,33.8,108.0,43.0,23.4,12.5,6.73,3.96,19.66,2021-2022,RegularSeason,Dallas,Texas
CLE,82,46.9,39.695,84.634,35.5,11.622,32.756,76.0,16.78,22.073,10.2,34.0,107.8,44.2,25.2,14.4,7.07,4.18,17.48,2021-2022,RegularSeason,Cleveland,Ohio
NYK,82,43.7,37.659,86.207,35.7,13.195,36.939,74.4,17.963,24.146,11.5,34.6,106.5,46.1,21.9,13.26,6.95,4.87,20.39,2021-2022,RegularSeason,New York,New York
POR,82,44.2,38.549,87.122,34.6,12.72,36.793,76.0,16.415,21.598,10.4,32.5,106.2,42.9,22.9,14.48,8.01,4.46,21.07,2021-2022,RegularSeason,Portland,Oregon
DET,82,43.1,38.159,88.622,32.6,11.28,34.61,78.2,17.232,22.024,11.0,32.0,104.8,43.0,23.5,14.18,7.68,4.79,21.94,2021-2022,RegularSeason,Detroit,Michigan
ORL,82,43.4,38.28,88.293,33.1,12.183,36.854,78.7,15.488,19.683,9.1,35.2,104.2,44.3,23.7,14.49,6.77,4.48,19.66,2021-2022,RegularSeason,Orlando,Florida
OKC,82,43.0,38.305,89.146,32.3,12.085,37.39,75.6,15.037,19.902,10.4,35.2,103.7,45.6,22.2,13.96,7.59,4.63,18.26,2021-2022,RegularSeason,Oklahoma City,Oklahoma
