排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,LeBron James,CLE,22,22,34.0,9.1,9.0,41.9,37.1,53.9,12.5,23.182,34.2,1.773,5.182,74.6,7.227,9.682,1.4,7.7,1.4,1.0,4.3,2.4,2017-2018,Playoffs,F,G,Cleveland,Ohio
2,Anthony Davis,NOP,9,9,30.1,13.4,1.7,39.8,34.9,52.0,11.778,22.667,27.3,0.667,2.444,82.8,5.889,7.111,2.7,10.8,2.0,2.3,2.6,3.3,2017-2018,Playoffs,F,C,New Orleans,Louisiana
3,Russell Westbrook,OKC,6,6,29.3,12.0,7.5,39.2,27.8,39.8,10.667,26.833,35.7,2.5,7.0,82.5,5.5,6.667,1.8,10.2,1.5,0.0,5.2,3.5,2017-2018,Playoffs,G,G,Oklahoma City,Oklahoma
4,Kevin Durant,GSW,21,21,29.0,7.8,4.7,38.4,29.6,48.7,10.095,20.714,34.1,2.238,6.571,90.1,6.524,7.238,0.6,7.1,0.7,1.2,2.4,2.0,2017-2018,Playoffs,F,F,Golden State,California
5,James Harden,HOU,17,17,28.6,5.2,6.8,36.5,25.5,41.0,9.294,22.647,29.9,3.059,10.235,88.7,6.941,7.824,0.8,4.4,2.2,0.6,3.8,2.7,2017-2018,Playoffs,G,G,Houston,Texas
6,John Wall,WAS,6,6,26.0,5.7,11.5,39.0,29.3,44.1,9.333,21.167,19.0,0.667,3.5,85.1,6.667,7.833,0.5,5.2,2.3,1.3,4.5,2.7,2017-2018,Playoffs,G,G,Washington,D.C.
7,Giannis Antetokounmpo,MIL,7,7,25.7,9.6,6.3,40.0,31.6,57.0,9.857,17.286,28.6,0.571,2.0,69.1,5.429,7.857,1.1,8.4,1.4,0.9,2.4,4.0,2017-2018,Playoffs,F,F,Milwaukee,Wisconsin
8,Stephen Curry,GSW,15,14,25.5,6.1,5.4,37.0,25.3,45.1,9.133,20.267,39.5,4.267,10.8,95.7,3.0,3.133,0.6,5.5,1.7,0.7,2.9,2.5,2017-2018,Playoffs,G,G,Golden State,California
9,CJ McCollum,POR,4,4,25.3,2.0,3.5,38.8,20.0,51.9,10.0,19.25,42.3,2.75,6.5,76.9,2.5,3.25,0.0,2.0,1.3,0.3,2.3,2.8,2017-2018,Playoffs,G,G,Portland,Oregon
10,Paul George,OKC,6,6,24.7,6.0,2.7,41.8,18.7,40.8,8.167,20.0,36.5,3.167,8.667,86.1,5.167,6.0,0.7,5.3,1.3,0.7,4.0,2.8,2017-2018,Playoffs,F,F,Oklahoma City,Oklahoma
11,Khris Middleton,MIL,7,7,24.7,5.1,3.1,39.3,25.1,59.8,9.571,16.0,61.0,3.571,5.857,73.7,2.0,2.714,0.1,5.0,0.9,0.7,2.3,4.3,2017-2018,Playoffs,F,F,Milwaukee,Wisconsin
12,Donovan Mitchell,UTA,11,11,24.4,5.9,4.2,37.4,20.2,42.0,9.273,22.091,31.3,2.273,7.273,90.7,3.545,3.909,0.8,5.1,1.5,0.4,2.9,3.2,2017-2018,Playoffs,G,G,Utah,Utah
13,Jrue Holiday,NOP,9,9,23.7,5.7,6.3,38.7,24.7,51.8,9.778,18.889,32.0,1.778,5.556,70.0,2.333,3.333,1.0,4.7,1.1,0.6,2.6,2.4,2017-2018,Playoffs,G,G,New Orleans,Louisiana
14,LaMarcus Aldridge,SAS,5,5,23.6,9.2,2.4,35.2,25.6,46.3,7.4,16.0,60.0,0.6,1.0,97.6,8.2,8.4,2.6,6.6,0.6,0.4,1.8,1.8,2017-2018,Playoffs,F,F,San Antonio,Texas
15,Bradley Beal,WAS,6,6,23.2,3.3,2.8,36.0,18.0,45.4,8.167,18.0,46.7,3.5,7.5,87.0,3.333,3.833,0.3,3.0,1.2,0.3,2.5,3.2,2017-2018,Playoffs,G,G,Washington,D.C.
16,DeMar DeRozan,TOR,10,10,22.7,3.6,4.0,35.4,16.9,43.7,8.7,19.9,28.6,1.0,3.5,81.1,4.3,5.3,0.6,3.0,0.5,0.6,2.3,2.4,2017-2018,Playoffs,G,G,Toronto,Ontario
17,Victor Oladipo,IND,7,7,22.7,8.3,6.0,37.3,24.3,41.7,7.571,18.143,40.4,3.286,8.143,73.2,4.286,5.857,0.4,7.9,2.4,0.4,3.4,1.6,2017-2018,Playoffs,G,G,Indiana,Indiana
18,Joel Embiid,PHI,8,8,21.4,12.6,3.0,34.8,24.0,43.5,7.5,17.25,27.6,1.0,3.625,70.5,5.375,7.625,2.9,9.8,0.9,1.8,3.6,3.9,2017-2018,Playoffs,C,C,Philadelphia,Pennsylvania
